Acre,Land_Planting,Strate_Fertilizer,Liquid_Fertilizer,Fungicide,Insecticide,Others,Area,KG,Total_Expenses,Investment,Estimated_Yield,Revenue,Profit,Is_Profitable
1,48390,133215,12085,49394,22668,11730,ampara,4721,277482,60000,850.685810250755,85068.5810250755,25068.581025075502,True
1,49115,155516,8471,47850,24422,10878,ampara,3295,296252,60000,556.1143891011706,55611.43891011705,-4388.561089882947,False
1,47080,143185,9769,50928,25984,11754,bakamuna,4098,288700,60000,709.7332871492899,70973.328714929,10973.328714928997,True
1,49030,147682,11691,47622,24320,9815,dehiaththakandiya,3942,290160,60000,679.2803970223324,67928.03970223325,7928.039702233247,True
1,44101,149379,10793,50630,23790,12786,girithale,2716,291479,60000,465.8997732255154,46589.97732255154,-13410.022677448462,False
1,48785,148796,13279,51884,26675,10971,Kandakatiya,3896,300390,60000,648.4902959486001,64849.02959486001,4849.029594860011,True
1,48605,146601,9904,47384,23686,8852,kanthale,4785,285032,60000,839.3794380981785,83937.94380981785,23937.94380981785,True
1,49770,157153,7295,47896,27099,9008,mahiyanganaya,2537,298221,60000,425.35569259039437,42535.56925903944,-17464.43074096056,False
1,50075,159014,12349,48316,24673,10047,medirigiriya,1895,304474,60000,311.1924170865164,31119.24170865164,-28880.75829134836,False
1,48431,141371,8571,49913,27630,12200,monaragala,1236,288116,60000,214.49693873301032,21449.693873301032,-38550.30612669897,False
1,46958,136653,9790,47264,20722,9872,morawewa,4974,271259,60000,916.8359390840488,91683.59390840489,31683.593908404888,True
1,45960,128786,10762,50203,22588,10533,nikaweratiya,4369,268832,60000,812.5892750862993,81258.92750862993,21258.92750862993,True
1,48216,158632,10956,49442,22318,10758,girithale,2457,300322,60000,409.0609412563848,40906.09412563848,-19093.905874361517,False
1,42264,168634,7384,48107,26750,12731,kanthale,2149,305870,60000,351.2930329878707,35129.30329878707,-24870.69670121293,False
1,45403,165352,12285,49018,25164,9263,mahiyanganaya,3296,306485,60000,537.7098389807006,53770.98389807006,-6229.016101929941,False
1,47228,143724,7316,48095,25594,9048,ampara,1947,281005,60000,346.4351168128681,34643.51168128681,-25356.488318713193,False
1,49520,143756,12637,48035,26070,10300,dehiaththakandiya,3174,290318,60000,546.6419581286727,54664.19581286727,-5335.80418713273,False
1,44873,143605,13151,50014,23509,12196,mahiyanganaya,1978,287348,60000,344.1819675097791,34418.19675097791,-25581.803249022087,False
1,45295,158530,9707,46716,26363,8206,monagala,2456,294817,60000,416.5295759742484,41652.957597424844,-18347.042402575156,False
1,49865,145389,9851,48905,24880,10430,ampara,4387,289320,60000,758.1570579289368,75815.70579289367,15815.70579289367,True
1,51273,137216,12113,46468,27631,10858,ampara,1984,285559,60000,347.388805815961,34738.8805815961,-25261.119418403898,False
1,43233,137912,9783,48809,26144,8722,monaragala,4215,274603,60000,767.4715862536098,76747.15862536097,16747.15862536097,True
1,45360,148482,10708,47389,24623,12857,ampara,2947,289419,60000,509.12345077551925,50912.34507755192,-9087.654922448077,False
1,43261,147599,11492,49760,24371,9832,kanthale,4597,286315,60000,802.78714003807,80278.71400380699,20278.714003806992,True
1,52056,145737,9381,49074,21814,8139,ampara,2169,286201,60000,378.9294936076394,37892.949360763945,-22107.050639236055,False
1,46544,138668,11235,49131,24924,9368,dehiaththakandiya,1796,279870,60000,320.863257941187,32086.3257941187,-27913.6742058813,False
1,47243,133293,9525,47782,25104,9784,mahiyanganaya,3297,272731,60000,604.4417392962296,60444.17392962296,444.1739296229571,True
1,53539,156740,8637,48607,25422,10155,ampara,4392,303100,60000,724.5133619267569,72451.33619267569,12451.336192675692,True
1,45800,158005,10565,50233,27112,9206,ampara,2758,300921,60000,458.25980905287435,45825.98090528743,-14174.019094712567,False
1,45277,145142,9473,46792,24698,9908,bakamuna,2879,281290,60000,511.7494400796331,51174.944007963306,-8825.055992036694,False
1,44628,149974,8351,51209,24203,9164,dehiaththakandiya,2376,287529,60000,413.1757144496729,41317.57144496729,-18682.42855503271,False
1,50475,139138,10402,47486,25109,9659,girithale,4937,282269,60000,874.5204042951935,87452.04042951936,27452.04042951936,True
1,50104,158911,11588,47032,23242,8171,Kandakatiya,3129,299048,60000,523.1601615794119,52316.016157941194,-7683.983842058806,False
1,47447,146787,9244,48936,25571,11521,kanthale,3864,289506,60000,667.343681996228,66734.36819962281,6734.3681996228115,True
1,44024,146047,9740,46807,26854,8854,mahiyanganaya,1764,282326,60000,312.4048086254897,31240.480862548968,-28759.519137451032,False
1,47631,148515,9625,49699,29228,11920,medirigiriya,4398,296618,60000,741.357571017268,74135.7571017268,14135.757101726806,True
1,51986,179803,9247,50909,23309,12376,monaragala,2457,327630,60000,374.9656624851204,37496.56624851204,-22503.43375148796,False
1,50217,142617,10520,45896,25388,11012,morawewa,1278,285650,60000,223.70033257482933,22370.033257482934,-37629.96674251706,False
1,51450,154441,13329,50868,24552,9925,nikaweratiya,3145,304565,60000,516.3101472592057,51631.01472592057,-8368.98527407943,False
1,50544,134889,11885,49728,29154,10612,girithale,4786,286812,60000,834.3444486283698,83434.44486283699,23434.444862836986,True
1,51240,159407,7260,48609,22424,11502,kanthale,1729,300442,60000,287.74272571744297,28774.272571744295,-31225.727428255705,False
1,49860,138582,9981,49417,26210,11982,mahiyanganaya,2543,286032,60000,444.5306818817475,44453.06818817475,-15546.931811825249,False
1,45828,158589,10575,50745,23282,8954,ampara,3745,297973,60000,628.4126414138194,62841.264141381944,2841.264141381944,True
1,48493,152860,10973,48416,23565,9272,dehiaththakandiya,3126,293579,60000,532.3950282547457,53239.50282547457,-6760.49717452543,False
1,46206,156480,10964,49736,27889,13481,mahiyanganaya,2947,304756,60000,483.5015553426348,48350.15553426348,-11649.844465736518,False
1,54600,135680,8560,50120,23400,9650,monagala,3149,282010,60000,558.3135349810291,55831.35349810291,-4168.646501897092,False
1,43364,153073,14481,50682,26985,11419,ampara,3485,300004,60000,580.8255889921468,58082.55889921468,-1917.4411007853196,False
1,47884,138894,14590,50795,26401,9249,ampara,3857,287813,60000,670.0531247719873,67005.31247719873,7005.312477198735,True
1,45977,165066,14653,48010,25799,12073,monaragala,3147,311578,60000,505.00998144926797,50500.998144926794,-9499.001855073206,False
1,41255,145248,8242,48085,24346,10917,ampara,4972,278093,60000,893.9455505891914,89394.55505891914,29394.55505891914,True
1,44327,145813,8613,49697,27087,11929,kanthale,3716,287466,60000,646.3373059770547,64633.73059770547,4633.730597705471,True
1,49342,143425,11715,49414,23201,12711,ampara,2483,289808,60000,428.38707006017773,42838.70700601777,-17161.292993982228,False
1,46984,162753,13859,48856,22672,12637,dehiaththakandiya,1957,307761,60000,317.9415195557592,31794.151955575922,-28205.848044424078,False
1,42728,165212,11355,49887,25315,11878,mahiyanganaya,3784,306375,60000,617.5438596491227,61754.385964912275,1754.385964912275,True
1,47453,152204,12097,48623,28474,10763,ampara,4879,299614,60000,814.2142890519135,81421.42890519135,21421.42890519135,True
1,48816,138267,10835,49408,25243,9578,ampara,4297,282147,60000,761.4824896242029,76148.24896242029,16148.248962420286,True
1,47165,139888,8725,50087,22238,10786,bakamuna,2479,278889,60000,444.4420540071498,44444.20540071498,-15555.794599285022,False
1,43400,143738,9957,49339,27228,10610,dehiaththakandiya,1396,284272,60000,245.53948331175775,24553.948331175776,-35446.05166882422,False
1,50117,144615,13728,47965,27328,12924,girithale,1987,296677,60000,334.87597623004143,33487.59762300414,-26512.40237699586,False
1,49245,166550,11801,47349,23926,12952,Kandakatiya,2475,311823,60000,396.8597569775161,39685.97569775161,-20314.024302248392,False
1,48710,134428,12858,47782,28028,11943,kanthale,4789,283749,60000,843.8796260074926,84387.96260074926,24387.962600749262,True
1,47459,155487,12947,49246,27767,12874,mahiyanganaya,1237,305780,60000,202.26960559879652,20226.96055987965,-39773.03944012035,False
1,41922,150866,11851,47282,26568,11667,medirigiriya,3478,290156,60000,599.3327727153669,59933.27727153669,-66.7227284633118,False
1,49845,167846,12122,49736,28469,10021,monaragala,2417,318039,60000,379.9848446259735,37998.48446259735,-22001.51553740265,False
1,47925,160617,10919,50401,24882,11712,morawewa,3947,306456,60000,643.9749915159109,64397.499151591095,4397.499151591095,True
1,44553,150603,9381,47368,28191,11144,nikaweratiya,1478,291240,60000,253.742617772284,25374.2617772284,-34625.7382227716,False
1,42420,146438,8449,49540,24093,11644,girithale,2347,282584,60000,415.2747501627835,41527.47501627835,-18472.524983721647,False
1,47025,140826,13154,47981,24598,11335,kanthale,3147,284919,60000,552.2622218946437,55226.22218946437,-4773.7778105356265,False
1,42922,142815,10030,50621,28425,11616,mahiyanganaya,2845,286429,60000,496.63267336757104,49663.267336757104,-10336.732663242896,False
1,50810,135905,9871,49100,21558,9520,ampara,3471,276764,60000,627.0685493778093,62706.85493778093,2706.8549377809322,True
1,45738,169966,11200,50178,21840,10062,dehiaththakandiya,4371,308984,60000,707.3181782875488,70731.81782875488,10731.81782875488,True
1,42282,148314,13728,48053,22780,9746,mahiyanganaya,3298,284903,60000,578.7934840980965,57879.34840980965,-2120.6515901903476,False
1,44368,148406,14266,46162,23209,10915,monagala,4729,287326,60000,822.9328358728412,82293.28358728412,22293.283587284124,True
1,44498,153511,12195,48294,22707,12858,ampara,1297,294063,60000,220.53097465509092,22053.09746550909,-37946.90253449091,False
1,42635,159245,13630,46107,24789,11162,ampara,4176,297568,60000,701.6883535864072,70168.83535864072,10168.835358640717,True
1,49411,140127,11533,47586,23571,11146,monaragala,2185,283374,60000,385.53289998376704,38553.289998376706,-21446.710001623294,False
1,41548,147337,8505,47777,24749,11004,ampara,4936,280920,60000,878.5419336465899,87854.19336465899,27854.19336465899,True
1,42835,150367,8384,50880,28188,12407,kanthale,3296,293061,60000,562.3402636311212,56234.02636311212,-3765.9736368878803,False
1,43484,165773,8701,48895,26166,11328,ampara,2785,304347,60000,457.5369561717382,45753.69561717382,-14246.30438282618,False
1,45340,135283,12833,46608,20857,10922,dehiaththakandiya,1947,271843,60000,358.1111156071703,35811.11156071703,-24188.88843928297,False
1,47697,145246,11956,47617,23740,11573,mahiyanganaya,1578,287829,60000,274.12109273214304,27412.109273214304,-32587.890726785696,False
1,41701,135542,11577,48466,20777,10910,ampara,4169,268973,60000,774.9848497804612,77498.48497804612,17498.484978046123,True
1,41217,133941,8198,47606,27157,9035,ampara,4376,267154,60000,819.0032715212949,81900.3271521295,21900.327152129496,True
1,47543,145713,12835,50732,28735,12076,bakamuna,3714,297634,60000,623.9206542263317,62392.065422633175,2392.0654226331753,True
1,44507,154605,14655,48347,26972,12523,dehiaththakandiya,3974,301609,60000,658.7999694969315,65879.99694969314,5879.996949693144,True
1,45770,154796,8290,46859,26748,12255,girithale,4756,294718,60000,806.873010810334,80687.3010810334,20687.301081033394,True
1,44673,141416,9386,46827,23533,10043,Kandakatiya,2785,275878,60000,504.7521005661923,50475.21005661923,-9524.789943380769,False
1,45608,133160,10265,48350,24957,12578,kanthale,4986,274918,60000,906.815850544526,90681.5850544526,30681.585054452604,True
1,47480,154396,8331,49993,21061,12491,mahiyanganaya,2369,293752,60000,403.23129714861517,40323.12971486152,-19676.87028513848,False
1,49335,145321,8182,47394,22000,11918,medirigiriya,3178,284150,60000,559.2116839697343,55921.16839697343,-4078.8316030265705,False
1,44832,161557,11485,46709,28699,12355,monaragala,2419,305637,60000,395.7308833681786,39573.088336817855,-20426.911663182145,False
1,41006,164064,13781,49025,26141,12985,morawewa,1235,307002,60000,201.1387547963857,20113.875479638573,-39886.12452036142,False
1,44675,160883,12723,50592,24786,12437,nikaweratiya,2486,306096,60000,406.0817521300507,40608.175213005066,-19391.824786994934,False
1,50962,149287,12114,47270,21915,12507,girithale,4326,294055,60000,735.5766778323783,73557.66778323783,13557.667783237834,True
1,42457,130188,10545,49767,23824,11694,kanthale,2947,268475,60000,548.8406741782288,54884.06741782288,-5115.93258217712,False
1,50551,151491,13831,47772,23506,12554,mahiyanganaya,3768,299705,60000,628.6181411721526,62861.81411721526,2861.814117215261,True
1,47124,142795,12862,46816,22766,11250,ampara,2869,283613,60000,505.79486835934887,50579.486835934884,-9420.513164065116,False
1,42728,157257,8633,50859,24944,10963,dehiaththakandiya,1497,295384,60000,253.39896541451128,25339.89654145113,-34660.10345854887,False
1,44302,153027,8785,48993,28199,9465,mahiyanganaya,3174,292771,60000,542.0618845445758,54206.18845445758,-5793.8115455424195,False
1,48410,154543,8696,49700,28447,12820,monagala,2986,302616,60000,493.36452798265793,49336.4527982658,-10663.547201734204,False
1,45175,137662,13567,49608,25386,12900,ampara,4785,284298,60000,841.5465462296604,84154.65462296605,24154.654622966045,True
1,43730,137002,10455,50715,21748,12974,ampara,4896,276624,60000,884.9557522123894,88495.57522123893,28495.575221238934,True
1,46364,153179,12937,48377,26447,10836,monaragala,3716,298140,60000,623.1971556986651,62319.715569866516,2319.7155698665156,True
1,46696,140596,9499,46890,28645,11146,ampara,1597,283472,60000,281.68566913134276,28168.566913134277,-31831.433086865723,False
1,42997,139931,14590,46697,26717,12405,kanthale,3987,283337,60000,703.5791301524333,70357.91301524334,10357.913015243335,True
1,47686,159232,8443,47990,27076,12968,ampara,2746,303395,60000,452.5453616572455,45254.53616572455,-14745.463834275448,False
1,42975,167953,12020,49781,26293,9203,dehiaththakandiya,2374,308225,60000,385.1082812880201,38510.828128802015,-21489.171871197985,False
1,50133,151994,10404,46374,26612,11570,mahiyanganaya,1276,297087,60000,214.75190769033986,21475.190769033987,-38524.80923096601,False
1,43171,151842,10147,48747,24843,9679,ampara,3876,288429,60000,671.915792101349,67191.57921013489,7191.5792101348925,True
1,44487,158493,9268,47014,24643,12369,ampara,4327,296274,60000,730.2362002740706,73023.62002740706,13023.620027407058,True
1,43255,157122,14415,48979,21867,10767,bakamuna,1874,296405,60000,316.12152291628007,31612.15229162801,-28387.84770837199,False
1,42002,139784,10418,50941,20882,12111,dehiaththakandiya,4785,276138,60000,866.4146187775676,86641.46187775677,26641.461877756767,True
1,41402,132923,10888,49182,25462,12446,girithale,2796,272303,60000,513.3986772088446,51339.86772088445,-8660.132279115547,False
1,44657,135083,11628,50884,20873,9531,Kandakatiya,3169,272656,60000,581.1352033331377,58113.520333313776,-1886.479666686224,False
1,41840,140858,9987,50414,26818,10473,kanthale,1235,280390,60000,220.22896679624807,22022.896679624806,-37977.103320375194,False
1,42456,138743,8472,49122,26722,12595,mahiyanganaya,2437,278110,60000,438.13598935672934,43813.59893567293,-16186.401064327067,False
1,47814,166854,13660,46715,24546,12978,medirigiriya,4385,312567,60000,701.4496092037866,70144.96092037867,10144.960920378668,True
1,50649,165211,14270,46746,26087,10679,monaragala,2784,313642,60000,443.8181110948151,44381.81110948151,-15618.18889051849,False
1,49922,164368,8663,49885,22801,11157,morawewa,4379,306796,60000,713.6664102530673,71366.64102530673,11366.64102530673,True
1,46863,166632,10442,47079,23940,9772,nikaweratiya,3174,304728,60000,520.7923131448373,52079.23131448373,-7920.768685516268,False
1,50667,151038,8292,50413,24869,10040,girithale,3976,295319,60000,673.1703683135863,67317.03683135864,7317.036831358637,True
1,44928,135608,8763,48090,28641,10737,kanthale,2376,276767,60000,429.241925518577,42924.1925518577,-17075.807448142303,False
1,49281,140822,13021,47949,25659,9098,mahiyanganaya,1769,285830,60000,309.4496728824826,30944.967288248263,-29055.032711751737,False
1,43303,159192,13140,47390,20241,10700,ampara,4986,293966,60000,848.057258322391,84805.7258322391,24805.7258322391,True
1,46665,141248,14758,46838,22388,10415,dehiaththakandiya,2456,282312,60000,434.9797387287823,43497.97387287823,-16502.026127121768,False
1,46616,154381,11378,49355,27667,11160,mahiyanganaya,3175,300557,60000,528.1860013242081,52818.600132420805,-7181.399867579195,False
1,42317,134070,13244,49316,24136,12987,monagala,3967,276070,60000,718.4771978121491,71847.71978121491,11847.71978121491,True
1,41133,151636,8237,46790,23540,12452,ampara,1876,283788,60000,330.52842262534006,33052.842262534,-26947.157737465997,False
1,44103,160481,14553,50331,21107,12681,ampara,4758,303256,60000,784.4857150394386,78448.57150394385,18448.57150394385,True
1,49918,132673,9887,50769,24957,10503,monaragala,2167,278707,60000,388.7595216481825,38875.95216481825,-21124.04783518175,False
1,48496,163589,10132,50542,21454,11960,ampara,3197,306173,60000,522.0904521300049,52209.04521300049,-7790.954786999508,False
1,48543,132166,9877,50194,25837,10585,kanthale,3874,277202,60000,698.7684071543496,69876.84071543496,9876.840715434955,True
1,45697,131487,10272,48609,24315,12228,ampara,2587,272608,60000,474.4908439957741,47449.08439957741,-12550.915600422588,False
1,43786,135513,14991,48831,26289,11227,dehiaththakandiya,1597,280637,60000,284.53126280568847,28453.126280568846,-31546.873719431154,False
1,45292,165790,10794,49671,26621,9092,mahiyanganaya,1746,307260,60000,284.124194493263,28412.419449326302,-31587.580550673698,False
1,41959,158874,13209,48624,24037,11490,ampara,4789,298193,60000,803.0034239569675,80300.34239569675,20300.342395696745,True
1,47710,152480,12084,46027,27919,9857,ampara,4168,296077,60000,703.8709524887107,70387.09524887108,10387.095248871075,True
1,43897,152097,8105,46710,23623,10932,bakamuna,2437,285364,60000,426.9985001611976,42699.85001611976,-17300.14998388024,False
1,49535,160768,8702,49636,23194,10358,dehiaththakandiya,2797,302193,60000,462.7837176903502,46278.371769035024,-13721.628230964976,False
1,42717,162123,10597,47651,27432,9481,girithale,1579,300001,60000,263.1657894473685,26316.57894473685,-33683.42105526315,False
1,49489,139803,12894,47677,20316,9865,Kandakatiya,2784,280044,60000,497.0647469683335,49706.47469683335,-10293.52530316665,False
1,48073,144371,14381,46267,25433,11825,kanthale,1956,290350,60000,336.83485448596525,33683.485448596526,-26316.514551403474,False
1,45192,165936,14251,47527,20283,11082,mahiyanganaya,4376,304271,60000,719.095806041325,71909.5806041325,11909.580604132498,True
1,47332,160154,10584,47484,27873,10035,medirigiriya,1947,303462,60000,320.7979911817625,32079.799118176248,-27920.200881823752,False
1,48214,149926,11160,48033,26670,9650,monaragala,2785,293653,60000,474.1991398010577,47419.91398010577,-12580.086019894232,False
1,46850,162049,10431,50245,25047,12452,morawewa,4756,307074,60000,774.4061691970013,77440.61691970013,17440.61691970013,True
1,46175,150807,13091,48050,23527,11304,nikaweratiya,2367,292954,60000,403.9883394662643,40398.83394662643,-19601.16605337357,False
1,47279,149435,12739,49155,21579,12842,girithale,3796,293029,60000,647.7174614116691,64771.74614116691,4771.746141166906,True
1,48994,143816,9699,50637,28367,11895,kanthale,2786,293408,60000,474.76551423274077,47476.551423274075,-12523.448576725925,False
1,43159,138899,12822,48373,22602,10436,mahiyanganaya,3876,276291,60000,701.434357253765,70143.4357253765,10143.435725376505,True
1,41606,131528,14271,48163,21271,12961,ampara,1947,269800,60000,360.8228317272053,36082.283172720534,-23917.716827279466,False
1,47330,131857,13388,50327,20066,11860,dehiaththakandiya,2976,274828,60000,541.4295486631639,54142.954866316395,-5857.045133683605,False
1,45145,131026,9476,46298,28328,11543,mahiyanganaya,2374,271816,60000,436.69246843452925,43669.24684345292,-16330.753156547078,False
1,43736,154971,8681,46219,28771,10894,monagala,2975,293272,60000,507.2083253771243,50720.83253771243,-9279.167462287573,False
1,46284,169000,8189,46835,20545,12225,ampara,3179,303078,60000,524.4524511841836,52445.24511841836,-7554.754881581641,False
1,48328,130170,10079,48224,24724,9367,ampara,4897,270892,60000,903.8657472350606,90386.57472350606,30386.574723506055,True
1,45713,163583,11785,50091,27667,11842,monaragala,1376,310681,60000,221.44901039973476,22144.901039973476,-37855.098960026524,False
1,48977,138385,11682,46177,24105,9266,ampara,1379,278592,60000,247.49454399264874,24749.454399264876,-35250.545600735124,False
1,43419,157524,13330,48627,28701,11773,kanthale,4876,303374,60000,803.628524527481,80362.85245274809,20362.85245274809,True
1,44920,139221,12520,49138,27211,12020,ampara,3174,285030,60000,556.7834964740554,55678.349647405536,-4321.6503525944645,False
1,49447,142940,12639,50709,27111,10205,dehiaththakandiya,3198,293051,60000,545.6388137218436,54563.881372184354,-5436.118627815646,False
1,50473,156975,13610,46732,24351,10373,mahiyanganaya,1749,302514,60000,289.0775302961185,28907.75302961185,-31092.24697038815,False
1,44241,150787,13229,50470,22972,12939,ampara,3786,294638,60000,642.4833185128871,64248.331851288705,4248.331851288705,True
1,46420,153312,9553,48745,21383,9022,ampara,4285,288435,60000,742.8016710870733,74280.16710870732,14280.16710870732,True
1,47025,152818,8620,49275,27716,12181,bakamuna,1785,297635,60000,299.86392729349706,29986.392729349707,-30013.607270650293,False
1,49861,164875,8974,48180,25847,9630,dehiaththakandiya,2379,307367,60000,386.9966522105496,38699.66522105496,-21300.33477894504,False
1,50762,151116,14719,49639,25107,10533,girithale,4198,301876,60000,695.3186076402231,69531.86076402232,9531.86076402232,True
1,45153,150991,10470,47733,28271,11605,Kandakatiya,1786,294223,60000,303.51128225869496,30351.128225869496,-29648.871774130504,False
1,45938,145444,12678,46976,25071,12055,kanthale,2376,288162,60000,412.2680991942032,41226.809919420324,-18773.190080579676,False
